REGION,BRANCH,FULL_BRANCH
I,1222,1222
E,1223,1223
I,1224,1224
I,1225,1225
Q,1226,1226
K,1228,1228
R,1229,1229
R,1230,1230
F,1231,1231
K,1233,1233
Q,1234,1234
E,1235,1235
Q,1236,1236
I,1237,1237
I,1238,1238
I,1239,1239
E,1240,1240
E,1241,1241
E,1242,1242
E,1243,1243
Q,1244,1244
E,1245,1245
E,1246,1246
R,1247,1247
K,1248,1248
I,1249,1249
I,1250,1250
I,1251,1251
E,1252,1252
Q,1253,1253
E,1254,1254
E,1255,1255
E,1256,1256
E,1257,1257
R,1258,1258
R,1259,1259
R,1260,1260
N,1261,1261
I,1262,1262
E,1263,1263
I,1264,1264
Q,1265,1265
Q,1266,1266
E,1267,1267
I,1268,1268
C,1269,1269
G,1270,1270
G,1271,1271
E,1272,1272
Q,1273,1273
E,1274,1274
K,1275,1275
K,1276,1276
Q,1277,1277
Q,1278,1278
G,1279,1279
G,1280,1280
J,1290,1290
N,1291,1291
H,1292,1292
H,1293,1293
H,1294,1294
H,1295,1295
H,1296,1296
H,1297,1297
H,1298,1298
H,1299,1299
L,1300,1300
F,1301,1301
F,1302,1302
F,1303,1303
D,1304,1304
A,1305,1305
H,1306,1306
A,1307,1307
A,1308,1308
A,1309,1309
G,1310,1310
A,1311,1311
A,1312,1312
G,1313,1313
G,1314,1314
G,1315,1315
F,1316,1316
F,1317,1317
F,1318,1318
L,1319,1319
H,1320,1320
F,1321,1321
F,1322,1322
F,1323,1323
F,1324,1324
G,1325,1325
H,1326,1326
H,1327,1327
B,1328,1328
B,1329,1329
B,1330,1330
B,1331,1331
B,1332,1332
B,1333,1333
F,1335,1335
F,1336,1336
F,1337,1337
B,1338,1338
B,1339,1339
B,1340,1340
B,1341,1341
B,1342,1342
B,1343,1343
X,1344,1344
F,1345,1345
F,1346,1346
F,1347,1347
F,1348,1348
F,1349,1349
F,1350,1350
F,1351,1351
F,1352,1352
F,1353,1353
F,1354,1354
F,1355,1355
F,1356,1356
F,1357,1357
G,1359,1359
G,1360,1360
G,1361,1361
G,1362,1362
G,1363,1363
G,1364,1364
G,1365,1365
G,1366,1366
G,1367,1367
G,1368,1368
G,1369,1369
G,1370,1370
G,1371,1371
G,1372,1372
G,1373,1373
G,1374,1374
G,1375,1375
H,1377,1377
H,1378,1378
H,1379,1379
H,1380,1380
H,1381,1381
H,1382,1382
H,1383,1383
H,1384,1384
H,1385,1385
E,1386,1386
Q,1387,1387
E,1388,1388
E,1389,1389
E,1390,1390
E,1391,1391
E,1392,1392
E,1393,1393
E,1394,1394
I,1395,1395
E,1396,1396
E,1397,1397
E,1398,1398
E,1399,1399
I,1400,1400
I,1401,1401
I,1402,1402
I,1403,1403
Q,1404,1404
I,1405,1405
I,1406,1406
I,1407,1407
I,1408,1408
I,1409,1409
I,1410,1410
Q,1411,1411
Q,1412,1412
I,1413,1413
I,1414,1414
I,1415,1415
I,1418,1418
I,1419,1419
I,1420,1420
I,1421,1421
I,1422,1422
I,1423,1423
I,1424,1424
I,1425,1425
Q,1426,1426
E,1427,1427
I,1428,1428
F,1429,1429
F,1430,1430
F,1431,1431
F,1432,1432
F,1433,1433
F,1434,1434
F,1435,1435
P,1436,1436
F,1437,1437
H,1438,1438
Q,1439,1439
H,1440,1440
I,1441,1441
Q,1442,1442
K,1443,1443
E,1444,1444
I,1445,1445
I,1446,1446
G,1447,1447
E,1448,1448
K,1449,1449
F,1450,1450
G,1451,1451
G,1452,1452
G,1453,1453
K,1454,1454
E,1455,1455
E,1456,1456
N,1457,1457
N,1458,1458
N,1459,1459
C,1460,1460
X,1461,1461
X,1462,1462
D,1463,1463
G,1464,1464
G,1465,1465
G,1466,1466
R,1467,1467
R,1468,1468
I,1469,1469
I,1470,1470
D,1471,1471
J,1472,1472
B,1473,1473
N,1474,1474
E,1475,1475
P,1476,1476
I,1477,1477
G,1478,1478
E,1479,1479
E,1480,1480
M,1481,1481
E,1482,1482
I,1483,1483
I,1484,1484
I,1485,1485
I,1486,1486
D,1487,1487
G,1488,1488
H,1489,1489
A,1490,1490
L,1491,1491
E,1492,1492
E,1493,1493
E,1494,1494
Q,1495,1495
Q,1496,1496
R,1497,1497
M,1498,1498
J,1499,1499
D,1500,1500
L,1502,1502
E,1503,1503
I,1504,1504
I,1506,1506
I,1507,1507
I,1510,1510
Q,1511,1511
Q,1512,1512
P,1513,1513
P,1514,1514
X,1515,1515
X,1516,1516
C,1517,1517
C,1518,1518
C,1519,1519
H,1521,1521
H,1522,1522
G,1523,1523
F,1524,1524
L,1525,1525
C,1527,1527
G,1528,1528
G,1529,1529
H,1531,1531
H,1532,1532
H,1533,1533
K,1534,1534
L,1535,1535
M,1536,1536
M,1537,1537
P,1538,1538
A,1539,1539
H,1540,1540
F,1541,1541
B,1542,1542
I,1543,1543
J,1544,1544
F,1545,1545
F,1546,1546
O,1547,1547
P,1548,1548
F,1549,1549
F,1550,1550
F,1551,1551
F,1552,1552
F,1553,1553
P,1554,1554
H,1555,1555
H,1556,1556
H,1557,1557
H,1558,1558
O,1559,1559
O,1560,1560
O,1561,1561
Q,1562,1562
I,1563,1563
F,1564,1564
F,1565,1565
G,1566,1566
M,1567,1567
P,1568,1568
H,1569,1569
X,1570,1570
X,1571,1571
X,1572,1572
L,1574,1574
L,1575,1575
H,1576,1576
H,1577,1577
I,1578,1578
I,1579,1579
Q,1580,1580
Q,1581,1581
M,1582,1582
L,1583,1583
L,1584,1584
B,1585,1585
B,1586,1586
B,1587,1587
G,1588,1588
G,1589,1589
H,1590,1590
H,1591,1591
K,1592,1592
H,1593,1593
H,1594,1594
R,1595,1595
F,1596,1596
A,1597,1597
A,1600,1600
H,1601,1601
X,1602,1602
C,1603,1603
N,1604,1604
N,1605,1605
N,1606,1606
E,1607,1607
Q,1608,1608
Q,1609,1609
H,1610,1610
K,1611,1611
K,1612,1612
G,1613,1613
X,1614,1614
M,1615,1615
Q,1616,1616
Q,1617,1617
Q,1618,1618
X,1619,1619
X,1620,1620
X,1622,1622
I,1623,1623
I,1624,1624
K,1626,1626
L,1627,1627
G,1628,1628
H,1629,1629
H,1630,1630
H,1631,1631
P,1632,1632
F,1633,1633
L,1634,1634
G,1635,1635
K,1636,1636
E,1637,1637
F,1638,1638
H,1639,1639
H,1640,1640
N,1641,1641
O,1642,1642
P,1643,1643
L,1644,1644
F,1645,1645
F,1646,1646
F,1647,1647
N,1648,1648
X,1649,1649
H,1650,1650
Q,1651,1651
L,1652,1652
L,1653,1653
E,1654,1654
E,1655,1655
