KODE KANWIL,NAMA KANWIL,KODE CABANG,NAMA CABANG,KODE UKER,NAMA UKER,TIPE KANTOR,KODE POS,KECAMATAN,DATI II,Koreksi DATI II,DATI I,ALAMAT,TELEFON
L,Banjarmasin                             ,630,KC Balikpapan A. Yani                   ,3235,UNIT BALIKPAPAN UTARA                   ,UNIT,76124,BALIKPAPAN TENGAH,Kota Balikpapan,Kota Balikpapan,Kalimantan Timur,Jl. Warukin Komp. Pertokoan Rapak, 0542-734993
L,Banjarmasin                             ,630,KC Balikpapan A. Yani                   ,3424,UNIT PANDAN WANGI                       ,UNIT,76131,BALIKPAPAN BARAT,Kota Balikpapan,Kota Balikpapan,Kalimantan Timur,Jl. Adil Makmur Rt.14/3 No.54, 0542-732724
L,Banjarmasin                             ,630,KC Balikpapan A. Yani                   ,4482,UNIT KARANG JATI                        ,UNIT,76123,BALIKPAPAN TENGAH,Kota Balikpapan,Kota Balikpapan,Kalimantan Timur,Jl. Jend. A. Yani No.408 Rt.08/03, 0542-423613
L,Banjarmasin                             ,630,KC Balikpapan A. Yani                   ,7125,UNIT KARANG REJO                        ,UNIT,76124,BALIKPAPAN TENGAH,Kota Balikpapan,Kota Balikpapan,Kalimantan Timur,Jl. Di.Panjaitan Rt.85 No.41, 0542-414875
L,Banjarmasin                             ,630,KC Balikpapan A. Yani                   ,4480,UNIT BALIKPAPAN BARAT                   ,UNIT,76132,BALIKPAPAN BARAT,Kota Balikpapan,Kota Balikpapan,Kalimantan Timur,Jl. Let. Jend. Suprapto No. 4, 0542-413033
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3907,UNIT MERDUATI BANDA ACEH                ,UNIT,23243,BAITURRAHMAN,Kota Banda Aceh,Kota Banda Aceh,Nanggroe Aceh Darussalam (NAD),Jl. Tentara Pelajar No. 134 Gampong Kp. Baru,0651638472
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3916,UNIT ULEE LHEUE BANDA ACEH              ,UNIT,23231,MEURAXA,Kota Banda Aceh,Kota Banda Aceh,Nanggroe Aceh Darussalam (NAD),Jl. Sultan Iskandar Muda No. 9 Banda Aceh,0651-7425543
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3340,UNIT SEUTUI                             ,UNIT,23243,BAITURRAHMAN,Kota Banda Aceh,Kota Banda Aceh,Nanggroe Aceh Darussalam (NAD),Jl. Teuku Umar No.336 338 Banda Aceh,0651-42365
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3908,UNIT LAMTEUMEN BANDA ACEH               ,UNIT,23236,BAITURRAHMAN,Kota Banda Aceh,Kota Banda Aceh,Nanggroe Aceh Darussalam (NAD),Jl. Cut Nyak Dhien No. 460 Banda Aceh,0651-40824
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3797,UNIT JAMBO TAPE BANDA ACEH              ,UNIT,23124,KUTA ALAM,Kota Banda Aceh,Kota Banda Aceh,Nanggroe Aceh Darussalam (NAD),Jl. T. Hasan Dek No.09 Kel.Kuta Alam,0651-34285
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3910,UNIT NEUSU JAYA BANDA ACEH              ,UNIT,23243,BAITURRAHMAN,Kota Banda Aceh,Kota Banda Aceh,Nanggroe Aceh Darussalam (NAD),Jl. Hasan Saleh,0651-33056
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3917,UNIT PEUNAYONG BANDA ACEH               ,UNIT,23122,KUTA ALAM,Kota Banda Aceh,Kota Banda Aceh,Nanggroe Aceh Darussalam (NAD),Jl. Twk Daudsyah Banda Aceh,0651-32887
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3904,UNIT K.H.A DAHLAN BANDA ACEH            ,UNIT,23243,BAITURRAHMAN,Kota Banda Aceh,Kota Banda Aceh,Nanggroe Aceh Darussalam (NAD),Jl. Kha.Dahlan No.30 Banda Aceh,0651-32058
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3912,UNIT SIMPANG TUJUH BANDA ACEH           ,UNIT,23117,SYIAH KUALA,Kota Banda Aceh,Kota Banda Aceh,Nanggroe Aceh Darussalam (NAD),Jl. T. Iskandar Muda,0651-21819
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3915,UNIT TGK. PANGLIMA POLEM BANDA          ,UNIT,23122,KUTA ALAM,Kota Banda Aceh,Kota Banda Aceh,Nanggroe Aceh Darussalam (NAD),Jl. Pocut Baren,065131344
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3914,UNIT T NYAK ARIEF BANDA ACEH            ,UNIT,23114,SYIAH KUALA,Kota Banda Aceh,Kota Banda Aceh,Nanggroe Aceh Darussalam (NAD),Jln. T. Nyak Arief Kel. Jeulingke Kec. Syiahkuala,0651-7429445
A,Banda Aceh                              ,37,KC Banda Aceh Cut Meutia                ,3918,UNIT T CHIK DITIRO BANDA ACEH           ,UNIT,23245,BAITURRAHMAN,Kota Banda Aceh,Kota Banda Aceh,Nanggroe Aceh Darussalam (NAD),Jln. T. Imum Lueng Bata Kel. Lueng Bata Kec. Lueng Bata Kota Banda Aceh,0651-25695
J,KANWIL BANDAR LAMPUNG                   ,98,KC Tanjung Karang                       ,5802,UNIT WAY HALIM TANJUNG KARANG           ,UNIT,35141,KEDATON,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jl. Kimaja No.13 Way Halim Sukarame , 0721-706482 
J,KANWIL BANDAR LAMPUNG                   ,98,KC Tanjung Karang                       ,5794,UNIT BANDAR LAMPUNG TANJUNG KA          ,UNIT,35142,KEDATON,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jl. Zainal Abidin Pagar Alam Lk I, 0721705300 
J,KANWIL BANDAR LAMPUNG                   ,98,KC Tanjung Karang                       ,5796,UNIT KEDATON TANJUNG KARANG             ,UNIT,35362,NATAR,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jl. Teuku Umar 20 , 0721-703028 
J,KANWIL BANDAR LAMPUNG                   ,98,KC Tanjung Karang                       ,5801,UNIT PASAR TUGU TANJUNG KARANG          ,UNIT,35125,TANJUNG KARANG TIMUR,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jl. Hayam Wuruk 5 , 0721-255508 
J,KANWIL BANDAR LAMPUNG                   ,98,KC Tanjung Karang                       ,3398,UNIT BAMBU KUNING TANJUNG KARA          ,UNIT,35113,TANJUNG KARANG PUSAT,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jl Imam Bonjol Kp.Ruko Vi No.86 Sukajawa,0721269326
J,KANWIL BANDAR LAMPUNG                   ,98,KC Tanjung Karang                       ,3372,UNIT ANTASARI TANJUNG KARANG            ,UNIT,35133,SUKARAME,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jl. Pangeran Antasari No. 125 Rt 001/002 Lk 2,0721250570
J,KANWIL BANDAR LAMPUNG                   ,98,KC Tanjung Karang                       ,8064,UNIT SUKARAME TANJUNG KARANG            ,UNIT,35131,SUKARAME,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jl Legundi,0721712121
J,KANWIL BANDAR LAMPUNG                   ,98,KC Tanjung Karang                       ,8140,UNIT RAJABASA TANJUNG KARANG            ,UNIT,35145,RAJABASA,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jalan Raden Gunawan Blpp Dsn.I,-
J,KANWIL BANDAR LAMPUNG                   ,285,KC Teluk Betung                         ,5809,UNIT JATIMULYO TELUK BETUNG             ,UNIT,35143,KEDATON,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jl. Ratu Dibalau No.20, 0721-706143 
J,KANWIL BANDAR LAMPUNG                   ,285,KC Teluk Betung                         ,7656,UNIT UNTUNG SUROPATI TELUK BET          ,UNIT,35142,KEDATON,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jl Ra Basyid Pasar Untung Kel Labuhan Dalam, 0721-8012122
J,KANWIL BANDAR LAMPUNG                   ,285,KC Teluk Betung                         ,5807,UNIT BUMI WARAS TELUK BETUNG            ,UNIT,35224,TELUKBETUNG SELATAN,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jln. Hasanuddin No.144 , 0721-484128 
J,KANWIL BANDAR LAMPUNG                   ,285,KC Teluk Betung                         ,5816,UNIT SUMUR BATU TELUK BETUNG            ,UNIT,35223,TELUKBETUNG SELATAN,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jln. Ikan Bawal No 114 , 0721-483661 
J,KANWIL BANDAR LAMPUNG                   ,285,KC Teluk Betung                         ,3561,UNIT PANJANG TELUK BETUNG               ,UNIT,35241,PANJANG,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jln. Yos Sudarso No. D.7 , 0721-31288 
J,KANWIL BANDAR LAMPUNG                   ,285,KC Teluk Betung                         ,5813,UNIT PASAR INDUK TELUK BETUNG           ,UNIT,35114,TANJUNG KARANG PUSAT,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jln. Tamin No.12D , 0721-265682 
J,KANWIL BANDAR LAMPUNG                   ,285,KC Teluk Betung                         ,5798,UNIT KEMILING TELUK BETUNG              ,UNIT,35158,TANJUNGKARANG BARAT,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jl.Imam Bonjol No.2. Kel.Langkapura,082177115810
J,KANWIL BANDAR LAMPUNG                   ,285,KC Teluk Betung                         ,8084,UNIT KOTA KARANG TELUK BETUNG           ,UNIT,35231,TELUKBETUNG TIMUR,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Re Martadinata,085269410188
J,KANWIL BANDAR LAMPUNG                   ,285,KC Teluk Betung                         ,8065,UNIT WATES WAY RATAI TL BETUNG          ,UNIT,35451,PADANG CERMIN,Kota Bandar Lampung,Kota Bandar Lampung,Lampung,Jl. Way Ratai Kel. Wates Kec. Wates Way Ratai,08127213133
F,Bandung                                 ,354,KC Bandung A.H. Nasution                ,747,UNIT UJUNG BERUNG BARAT BANDUN          ,UNIT,40611,UJUNGBERUNG,Kota Bandung,Kota Bandung,Jawa Barat,Jl Ah Nasution No.9 Rt.06/06,022-87773024
F,Bandung                                 ,354,KC Bandung A.H. Nasution                ,7509,UNIT ARCAMANIK BANDUNG A H NAS          ,UNIT,40293,ARCAMANIK,Kota Bandung,Kota Bandung,Jawa Barat,Jl. Arcamanik Endah, 022-7206901
F,Bandung                                 ,354,KC Bandung A.H. Nasution                ,7775,UNIT GEDE BAGE BANDUNG A H NAS          ,UNIT,40613,RANCASARI,Kota Bandung,Kota Bandung,Jawa Barat,Komp Perkantoran No.84 Kel. Mekar Mulya, 022-61144301
F,Bandung                                 ,354,KC Bandung A.H. Nasution                ,7921,UNIT CISARANTEN BANDUNG A H N           ,UNIT,40293,ARCAMANIK                ,Kota Bandung,Kota Bandung,Jawa Barat,Jl Cisaranten Kulon No.79,02287882057
F,Bandung                                 ,354,KC Bandung A.H. Nasution                ,750,UNIT CIBIRU BANDUNG A H NASUTI          ,UNIT,40614,CIBIRU,Kota Bandung,Kota Bandung,Jawa Barat,Jl.Ah Nasution 322,0227800634
F,Bandung                                 ,354,KC Bandung A.H. Nasution                ,4326,UNIT BATURADEN BANDUNG A.H. NA          ,UNIT,42087,BANDUNG KIDUL,Kota Bandung,Kota Bandung,Jawa Barat,Jl. Terusan Ciwastra No. 134 A Bandung,0227566118
F,Bandung                                 ,354,KC Bandung A.H. Nasution                ,3678,UNIT CIWASTRA BANDUNG A H NASU          ,UNIT,40286,MARGACINTA,Kota Bandung,Kota Bandung,Jawa Barat,Jl. Margacinta Buahbatu No. Bandung,0227560457
F,Bandung                                 ,354,KC Bandung A.H. Nasution                ,3680,UNIT RIUNG BANDUNG A H NASUTIO          ,UNIT,40292,RANCASARI,Kota Bandung,Kota Bandung,Jawa Barat,Jl. Cipamokolan No. Bandung,0227531762
F,Bandung                                 ,354,KC Bandung A.H. Nasution                ,757,UNIT CICADAS BARAT BANDUNG              ,UNIT,40271,BATUNUNGGAL,Kota Bandung,Kota Bandung,Jawa Barat,Jl. Jend. A. Yani No. 386 Bandung,0227274936
F,Bandung                                 ,354,KC Bandung A.H. Nasution                ,746,UNIT SUCI BANDUNG A H NASUTION          ,UNIT,40125,CIBEUNYING KIDUL,Kota Bandung,Kota Bandung,Jawa Barat,Jl. Phh Hasan Mustofa No. 126 Bandung,0227272165
F,Bandung                                 ,354,KC Bandung A.H. Nasution                ,748,UNIT ANTAPANI BANDUNG A H NASU          ,UNIT,40291,CICADAS,Kota Bandung,Kota Bandung,Jawa Barat,Jl. Purwakarta No. 4749,0227200186
F,Bandung                                 ,354,KC Bandung A.H. Nasution                ,990,UNIT SURAPATI BANDUNG AHN               ,UNIT,40123,CIBEUNYING KALER,Kota Bandung,Kota Bandung,Jawa Barat,Jl. Surapati No. 137 Bandung,022504045
F,Bandung                                 ,337,KC Bandung Naripan                      ,759,UNIT PAGARSIH BANDUNG N                 ,UNIT,40231,BOJONGLOA KALER,Kota Bandung,Kota Bandung,Jawa Barat,Jl.Pagarsih No.127 , 022-6070206 
F,Bandung                                 ,337,KC Bandung Naripan                      ,767,UNIT CIROYOM BANDUNG N                  ,UNIT,40182,ANDIR,Kota Bandung,Kota Bandung,Jawa Barat,Jl.Rajawali Timur No.27 B , 022-6038147 
F,Bandung                                 ,337,KC Bandung Naripan                      ,7019,UNIT CIBADAK BANDUNG N                  ,UNIT,40241,ASTANAANYAR,Kota Bandung,Kota Bandung,Jawa Barat,Jl. Cibadak No.217, 022-6015413
F,Bandung                                 ,337,KC Bandung Naripan                      ,781,UNIT PADJAJARAN BANDUNG N               ,UNIT,40173,CICENDO,Kota Bandung,Kota Bandung,Jawa Barat,Jl. Pajajaran Bandung, 022-6011326 
F,Bandung                                 ,337,KC Bandung Naripan                      ,779,UNIT PASIRKOJA BANDUNG N                ,UNIT,40222,BABAKAN CIPARAY,Kota Bandung,Kota Bandung,Jawa Barat,Jl.Terusan Pasirkoja No.247 , 022-6004615 
F,Bandung                                 ,337,KC Bandung Naripan                      ,7020,UNIT BANDUNG LAUTAN API                 ,UNIT,40253,REGOL,Kota Bandung,Kota Bandung,Jawa Barat,Jl. Bkr No.166C Rt.03 Rw.03 Bandung, 022-5226711
F,Bandung                                 ,337,KC Bandung Naripan                      ,777,UNIT TAMANSARI BANDUNG N                ,UNIT,40116,BANDUNG WETAN,Kota Bandung,Kota Bandung,Jawa Barat,Jl.Taman Sari No.21 C, 022-4261352 
F,Bandung                                 ,337,KC Bandung Naripan                      ,756,UNIT KARAPITAN BANDUNG N                ,UNIT,40261,LENGKONG,Kota Bandung,Kota Bandung,Jawa Barat,Jl.Karapitan No.114.A , 022-4234928 
F,Bandung                                 ,337,KC Bandung Naripan                      ,991,UNIT DIPATI UKUR BANDUNG N              ,UNIT,40134,COBLONG,Kota Bandung,Kota Bandung,Jawa Barat,Jl.Dipatiukur No.26 B , 022-2512601 
F,Bandung                                 ,337,KC Bandung Naripan                      ,780,UNIT SUKAMULYA BANDUNG N                ,UNIT,40164,SUKAJADI,Kota Bandung,Kota Bandung,Jawa Barat,Jl.Dr.Junjunan No.122 , 022-2036474 
F,Bandung                                 ,337,KC Bandung Naripan                      ,776,UNIT PASIR KALIKI BANDUNG N             ,UNIT,40173,CICENDO,Kota Bandung,Kota Bandung,Jawa Barat,Jl Pasirkaliki No.133 Cicendo,022-6040051
F,Bandung                                 ,337,KC Bandung Naripan                      ,764,UNIT ASTANA ANYAR BANDUNG N             ,UNIT,40234,BOJONGLOA KIDUL,Kota Bandung,Kota Bandung,Jawa Barat,Jl Kopo No.67A Bandung,022-5202991
F,Bandung                                 ,337,KC Bandung Naripan                      ,771,UNIT ABDUL MUIS BANDUNG N               ,UNIT,40252,REGOL,Kota Bandung,Kota Bandung,Jawa Barat,Jl. Pungkur No. 170 Kel. Pungkur,022-5200148
F,Bandung                                 ,337,KC Bandung Naripan                      ,775,UNIT BANCEUY BANDUNG N                  ,UNIT,40112,SUMURBANDUNG,Kota Bandung,Kota Bandung,Jawa Barat,Jl Suniaraja No.25Braga,022-4234126
F,Bandung                                 ,408,KC Bandung Setiabudi                    ,884,UNIT GEGER KALONG BANDUNG               ,UNIT,40153,SUKASARI,Kota Bandung,Kota Bandung,Jawa Barat,Jl.Gegerkalong Hilir No.15A , 022-2014186 
F,Bandung                                 ,407,KC Bandung Sukarno Hatta                ,3677,UNIT BINONG BDG SUKARNO HATTA           ,UNIT,40284,KIARACONDONG,Kota Bandung,Kota Bandung,Jawa Barat,Jl.Ibrahim Adjie No.369 Bandung,022-7308243
F,Bandung                                 ,137,KC Cimahi                               ,3291,UNIT CIJERAH CIMAHI                     ,UNIT,40213,BANDUNG KULON,Kota Bandung,Kota Bandung,Jawa Barat,Jl.Cijerah No. 100, 022-6034670
F,Bandung                                 ,137,KC Cimahi                               ,3288,UNIT SILIWANGI CIMAHI                   ,UNIT,40213,BANDUNG KULON,Kota Bandung,Kota Bandung,Jawa Barat,Jl Cijerah No.231 Rt.06/02 Caringin,0226030183
F,Bandung                                 ,162,KC Banjar                               ,4029,UNIT MULYASARI BANJAR                   ,UNIT,46325,LANGENSARI,Kota Banjar,Kota Banjar,Jawa Barat,Jl.Raya Langensari No. 55 Desa Bojongkantong, 0265-742900
F,Bandung                                 ,162,KC Banjar                               ,4026,UNIT LANGENSARI BANJAR                  ,UNIT,46343,LANGENSARI,Kota Banjar,Kota Banjar,Jawa Barat,Jl. Pahlawan No. 338 Kel. Muktisari, 0265-742862
F,Bandung                                 ,162,KC Banjar                               ,4028,UNIT MEKARSARI BANJAR                   ,UNIT,46321,BANJAR,Kota Banjar,Kota Banjar,Jawa Barat,Jl. Pamarican No 88 Kel Mekarsari, 0265-742390
F,Bandung                                 ,162,KC Banjar                               ,4011,UNIT BANJAR TIMUR BANJAR                ,UNIT,46322,PATARUMAN,Kota Banjar,Kota Banjar,Jawa Barat,Jl. Pasar Karang Taruna No.284 Kel. Hegarsari, 0265-742291
F,Bandung                                 ,162,KC Banjar                               ,4033,UNIT PURWAHARJA BANJAR                  ,UNIT,46332,PURWAHARJA,Kota Banjar,Kota Banjar,Jawa Barat,Jl Raya Ciamis No 205 Banjar, 0265-742234
F,Bandung                                 ,162,KC Banjar                               ,4012,UNIT BANJAR BANDUNG                     ,UNIT,46321,BANJAR,Kota Banjar,Kota Banjar,Jawa Barat,Jl. Bkr No.14 Kel. Mekarsari, 0265-741804
L,Banjarmasin                             ,242,KC Martapura                            ,7575,UNIT LIANG ANGGANG MARTAPURA            ,UNIT,70711,BANJARBARU,Kota Banjarbaru,Kota Banjarbaru,Kalimantan Selatan,Jl. Ahmad Yani KM 19,0511-4706141
L,Banjarmasin                             ,242,KC Martapura                            ,4537,UNIT RATU ELOK MARTAPURA                ,UNIT,70714,BANJARBARU,Kota Banjarbaru,Kota Banjarbaru,Kalimantan Selatan,Jlmistarcokrokusumort16, 0511-4782714
L,Banjarmasin                             ,242,KC Martapura                            ,7450,UNIT PANGLIMA BATUR MARTAPURA           ,UNIT,70711,BANJARBARU,Kota Banjarbaru,Kota Banjarbaru,Kalimantan Selatan,Jl.Panglima Batur Kel.Loktabat Utara, 0511-4781606
L,Banjarmasin                             ,242,KC Martapura                            ,4536,UNIT LOKTABAT MARTAPURA                 ,UNIT,70712,BANJARBARU,Kota Banjarbaru,Kota Banjarbaru,Kalimantan Selatan,Jl. A.Yani Km. 33, 0511-4780148
L,Banjarmasin                             ,242,KC Martapura                            ,7443,UNIT GUNTUNG PAYUNG MARTAPURA           ,UNIT,70714,LANDASAN ULIN,Kota Banjarbaru,Kota Banjarbaru,Kalimantan Selatan,Jl. A Yani KM. 31 Ruko RT.02 RW.01 Kelurahan Guntung Payung Kec. Landasan Ulin Kotamadya Banjarbaru, 0511-4777552
L,Banjarmasin                             ,242,KC Martapura                            ,3232,UNIT BANJAR BARU MARTAPURA              ,UNIT,70713,BANJARBARU,Kota Banjarbaru,Kota Banjarbaru,Kalimantan Selatan,Jl. A.Yani Km. 35 No. 5 RT 2 RW 4, 0511-4772672
L,Banjarmasin                             ,242,KC Martapura                            ,3607,UNIT SYAMSUDIN NOOR MARTAPURA           ,UNIT,70724,LANDASAN ULIN,Kota Banjarbaru,Kota Banjarbaru,Kalimantan Selatan,Jl. A.Yani Km. 24, 0511-4705072
L,Banjarmasin                             ,3,KC Banjarmasin                          ,4492,UNIT TRISAKTI B SAMUDERA                ,UNIT,70116,BANJAR BARAT,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Sotoyo S No. 33D Rt 027 ,0511-3367732
L,Banjarmasin                             ,3,KC Banjarmasin                          ,7379,UNIT PERDAGANGAN B SAMUDERA             ,UNIT,70123,BANJAR UTARA,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Adhiyaksa Raya No.1 Rt.27, 0511-7607321
L,Banjarmasin                             ,3,KC Banjarmasin                          ,3427,UNIT TELUK DALAM B SAMUDERA             ,UNIT,70117,BANJAR BARAT,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Mayjend Soetoyo S No. 114, 0511-4417090
L,Banjarmasin                             ,3,KC Banjarmasin                          ,4531,UNIT KUIN ALALAK B SAMUDERA             ,UNIT,70129,BANJAR UTARA,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Kuin Selatan No. 451, 0511-4366927
L,Banjarmasin                             ,3,KC Banjarmasin                          ,4486,UNIT BELITUNG B SAMUDERA                ,UNIT,70116,BANJAR BARAT,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Belitung Darat No. 1 RT 29 Banjarmasin, 0511-4366216
L,Banjarmasin                             ,3,KC Banjarmasin                          ,7153,UNIT SULTAN ADAM B SAMUDERA             ,UNIT,70121,BANJAR UTARA,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Sultan Adam, 0511-4315544
L,Banjarmasin                             ,3,KC Banjarmasin                          ,4488,UNIT PASAR BARU B SAMUDERA              ,UNIT,70111,BANJAR BARAT,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Niaga Utara No.34 Banjarmasin, 0511-3366432
L,Banjarmasin                             ,3,KC Banjarmasin                          ,4491,UNIT TELUK TIRAM B SAMUDERA             ,UNIT,70117,BANJAR BARAT,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Pelabuan Timur No. 4 Banjarmasin, 0511-3353149
L,Banjarmasin                             ,3,KC Banjarmasin                          ,4490,UNIT S PARMAN B SAMUDERA                ,UNIT,70155,Banjar Barat ,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. S. Parman Rt. 24/170, 0511-3353019
L,Banjarmasin                             ,3,KC Banjarmasin                          ,4485,UNIT ANTASARI B SAMUDERA                ,UNIT,70234,BANJAR TIMUR,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Pangeran Antasari Rt. 15 No.71, 0511-3272384
L,Banjarmasin                             ,3,KC Banjarmasin                          ,3425,UNIT BANJAR SELATAN                     ,UNIT,70243,BANJAR SELATAN,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Ks. Tubun No. 45, 0511-3262612
L,Banjarmasin                             ,3,KC Banjarmasin                          ,7892,UNIT MASJID JAMI BANJARMASIN            ,UNIT,70122,BANJAR UTARA             ,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Sultan Adam No. 7 Rt. 22 Kel. Surgi Mufti,081251272202
L,Banjarmasin                             ,3,KC Banjarmasin                          ,7581,UNIT CEMPAKA B SAMUDERA                 ,UNIT,70245,BANJAR SELATAN,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Cempaka Raya Rt.42, 0511-4421280
L,Banjarmasin                             ,3,KC Banjarmasin                          ,4487,UNIT PAAL SATU B SAMUDERA               ,UNIT,70233,BANJAR TIMUR,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. A. Yani KM. 2 RT. 15 RW. 02 Kel. Sungai Baru, 0511-3264449
L,Banjarmasin                             ,623,KC Banjarmasin 2                        ,3231,UNIT KURIPAN BANJARMASIN II             ,UNIT,70236,BANJAR TIMUR,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Veteran Rt. 21 No.393, 0511-3269893
L,Banjarmasin                             ,623,KC Banjarmasin 2                        ,7152,UNIT PRAMUKA BANJARMASIN II             ,UNIT,70249,BANJAR SELATAN,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Raya Pramuka No.02 Rt.19, 0511-3268602
L,Banjarmasin                             ,623,KC Banjarmasin 2                        ,3426,UNIT AHMAD YANI BANJARMASIN II          ,UNIT,70249,BANJAR SELATAN,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. A. Yani Km. 5, 0511-3255428
L,Banjarmasin                             ,623,KC Banjarmasin 2                        ,4493,UNIT VETERAN BANJARMASIN II             ,UNIT,70237,BANJAR TIMUR,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl.Veteran No.78, 0511-3252361
L,Banjarmasin                             ,623,KC Banjarmasin 2                        ,4489,UNIT PASAR LAMA BANJARMASIN II          ,UNIT,70121,BANJAR BARAT,Kota Banjarmasin,Kota Banjarmasin,Kalimantan Selatan,Jl. Masjid Jami No.40 RT.001,081258345360
X,KANWIL PEKANBARU                        ,621,KC Batam Center                         ,7306,UNIT ALAM RAYA BATAM CENTER             ,UNIT,29464,NONGSA,Kota Batam,Kota Batam,Kepulauan Riau,Jl.Ry Batam Center, 0778-7486373
X,KANWIL PEKANBARU                        ,621,KC Batam Center                         ,5513,UNIT PENUIN BATAM CENTER                ,UNIT,29413,BELAKANG PADANG,Kota Batam,Kota Batam,Kepulauan Riau,Jl. Pinuin Complex Nusa Indah Blok F No.4, 0778-462400
X,KANWIL PEKANBARU                        ,621,KC Batam Center                         ,3277,UNIT SUNGAI JODOH BATAM CENTER          ,UNIT,29453,BATU AMPAR,Kota Batam,Kota Batam,Kepulauan Riau,Jl.Raja Alihaji Blok A No13 Komp Jodoh Square, 0778-459710
X,KANWIL PEKANBARU                        ,621,KC Batam Center                         ,5514,UNIT BENGKONG BATAM CENTER              ,UNIT,29400,BATU AMPAR,Kota Batam,Kota Batam,Kepulauan Riau,Jl.Bengkong Ratu, 0778-426019
X,KANWIL PEKANBARU                        ,621,KC Batam Center                         ,5516,UNIT SAGULUNG BATAM CENTER              ,UNIT,29400,SUNGAI BEDUK,Kota Batam,Kota Batam,Kepulauan Riau,Jl.Raya Batu Aji, 0778-391731
X,KANWIL PEKANBARU                        ,621,KC Batam Center                         ,3541,UNIT SEKUPANG BATAM CENTER              ,UNIT,29428,SEKUPANG,Kota Batam,Kota Batam,Kepulauan Riau,Jl. S.Suparman Kurnia Mas Maju Blok A No.2, 0778-323045
X,KANWIL PEKANBARU                        ,621,KC Batam Center                         ,7347,UNIT TANJUNG UNCANG BATAM               ,UNIT,29400,SEKUPANG,Kota Batam,Kota Batam,Kepulauan Riau,Komp. Ruko Perumnas Fanindo Blok F No.07,085271336213
X,KANWIL PEKANBARU                        ,621,KC Batam Center                         ,5517,UNIT SIMPANG KARA BATAM CENTER          ,UNIT,29461,NONGSA,Kota Batam,Kota Batam,Kepulauan Riau,Komp Pertokoan GoldenLand Housing Blok K No.8,07787376173
X,KANWIL PEKANBARU                        ,621,KC Batam Center                         ,7875,UNIT BOTANIA BATAM CENTER               ,UNIT,29431,BATAM KOTA,Kota Batam,Kota Batam,Kepulauan Riau,Komplek Ruko Botania Garden Thp Iii Blok A6, 0778-7434060
